Fiscal_Year,Library,County,AENGLC_Rank,Population_of_Service_Area,Total_Library_Visits,Total_Registered_Borrowers,Percent_of_Residents_with_Library_Cards,Reference_Questions,Total_Circulation,Total_Programs_(Synchronous_+_Prerecorded),Total_Program_Attendance_&_Views,Total_Collection,Total_Operating_Income,Town_Tax_Appropriation_for_Library,Tax_Appropriation_Per_Capita_Served,Wages_&_Salaries_Expenditures,Operating_Expenditures,Operating_Expenditures_Per_Capita,Visits_per_Borrower,References_per_Borrower,Population_Group,Log_Population,Program_Attendance_per_Capita
1998,Middlefield - Levi Coe,Middlesex,85.0,4076.0,21996.0,3665.0,0.9,1676.0,31041.0,184.0,3052.0,23806.0,142399.0,129945.0,31.88,74325.0,116322.0,28.5,6.001637107776262,0.4572987721691678,Pequeña,8.313116702819253,0.7487733071638861
1998,Middletown - Russell,Middlesex,97.0,43498.0,56297.0,5261.0,0.71,5832.0,80777.5,478.0,16806.0,190444.0,2148415.0,1976896.0,45.45,1497046.0,1967460.0,45.2,10.700817335107393,1.1085344991446493,Mediana,10.680493228306789,0.38636259138351187
1998,Milford,New Haven,82.0,49619.0,,22544.0,0.45,41586.0,238581.0,31.0,5655.0,145322.0,738419.0,711453.0,14.34,557832.0,735487.0,14.8,,1.8446593328601846,Mediana,10.812149257245792,0.11396843950905904
1998,Monroe - Edith Wheeler,Fairfield,60.0,17982.0,127121.0,11162.0,0.62,16272.0,159272.0,183.0,5319.0,73449.0,425842.0,403154.0,22.42,286033.0,437299.0,24.3,11.388729618347966,1.4578032610643255,Mediana,9.797182146165197,0.2957957957957958
1998,Montville - Raymond,New London,124.0,17139.0,24180.0,8850.0,0.52,2378.0,34562.0,6.0,181.0,24088.0,56786.0,21000.0,1.23,34251.0,48026.0,2.8,2.7322033898305085,0.26870056497175143,Mediana,9.749170192151771,0.010560709492969252
1998,Morris,Litchfield,49.0,2111.0,15000.0,1050.0,0.5,584.0,26485.0,67.0,913.0,15131.0,68498.0,46302.0,21.93,45651.0,59563.0,28.2,14.285714285714286,0.5561904761904762,Pequeña,7.655390644826152,0.4324964471814306
1998,Naugatuck - Howard W.,New Haven,151.0,30226.0,173438.0,11474.0,0.38,15437.0,93154.0,245.0,4412.0,61530.0,573452.0,450000.0,14.89,292845.0,484327.0,16.0,15.11573993376329,1.345389576433676,Mediana,10.316490843682582,0.1459670482366175
1998,New Britain,Hartford,166.0,13145.0,276299.0,23987.0,0.34,37856.0,341156.0,270.0,5203.0,58039.0,2165841.0,2075000.0,29.25,1423989.0,1829907.0,25.8,11.51869762788177,1.5781881852670196,Mediana,9.483872808823522,0.39581589958158997
1998,New Canaan,Fairfield,3.0,17921.0,56297.0,17261.0,0.96,37438.0,368955.0,851.0,18967.0,152106.0,1385439.0,1152607.0,64.32,811192.0,1198374.0,66.9,3.26151439661665,2.1689357511152307,Mediana,9.793784287444165,1.0583672786116847
1998,New Fairfield,Fairfield,47.0,13370.0,88512.0,12394.0,0.93,,152334.0,199.0,5922.0,50288.0,333997.0,318557.0,23.83,231310.0,329500.0,24.6,7.141520090366306,,Mediana,9.500843461614666,0.44293193717277485
1998,New Hartford-Bakerville,Litchfield,78.0,,6775.0,875.0,0.14,,14870.0,39.0,495.0,10757.0,38568.0,30000.0,4.93,11387.0,25041.0,4.1,7.742857142857143,,,,
1998,New Hartford-Licia M.B.,Litchfield,78.0,6083.0,51660.0,4435.0,0.73,,62379.0,175.0,4000.0,27446.0,338028.0,137519.0,22.61,148314.0,253212.0,41.6,11.64825253664036,,Pequeña,8.713417653379183,0.6575702778234424
1998,New Haven,New Haven,165.0,13145.0,243608.0,5261.0,0.27,5832.0,194947.0,270.0,5203.0,58039.0,473641.5,386715.0,25.51,281623.0,470742.5,24.3,46.304504846987264,1.1085344991446493,Mediana,9.483872808823522,0.39581589958158997
1998,New London,New London,162.0,25263.0,281918.0,24166.0,0.96,31119.0,157683.0,397.0,7866.0,81678.0,522553.0,478600.0,18.94,244602.0,374102.0,14.8,11.665894231565009,1.2877182818836381,Mediana,10.137135736495424,0.3113644460277877
1998,New Milford,Litchfield,64.0,25343.0,227032.0,11742.0,0.46,17379.0,228117.0,486.0,11401.0,86607.0,815679.0,705100.0,27.82,446117.0,710974.0,28.1,19.335036620677908,1.4800715380684721,Mediana,10.140297294614152,0.4498678135974431
1998,Newington - LucyWelles,Hartford,91.0,28156.0,56297.0,14289.0,0.51,5832.0,431863.0,562.0,19798.0,113073.0,1201909.0,1172073.0,41.63,800151.0,1069142.0,38.0,3.9398838267198544,0.40814612639093006,Mediana,10.24555127050591,0.7031538570819719
1998,Newtown - Cyr.Booth,Fairfield,41.0,22504.0,104000.0,16968.0,0.75,41273.0,85305.0,361.0,9017.0,79033.0,551458.0,371057.0,16.49,246983.0,397805.0,17.7,6.129184347006129,2.4324021687883075,Mediana,10.021492785727034,0.40068432278706007
1998,Norfolk,Litchfield,52.0,2047.0,23793.0,1263.0,0.62,,32915.0,140.0,,27309.0,174979.0,1000.0,0.49,78942.0,137508.0,67.2,18.838479809976246,,Pequeña,7.6246189861593985,
1998,North Branford,New Haven,101.0,13717.0,49400.0,8372.0,0.61,4901.0,120802.0,187.0,,62180.0,405166.0,385818.0,28.13,232971.0,341199.0,24.9,5.900621118012422,0.5854037267080745,Mediana,9.526464118059266,
1998,North Canaan - Douglas,Litchfield,107.0,3472.0,8476.0,3732.0,0.46,424.0,17395.0,,,18680.0,97129.0,42435.0,12.22,27216.0,44682.0,12.9,2.2711682743837085,0.11361200428724544,Pequeña,8.152774052744075,
1998,North Haven,New Haven,38.0,22020.0,88244.0,19200.0,0.87,11331.0,149007.0,270.0,3205.0,102248.0,637042.0,615488.0,27.95,415320.0,564882.0,25.7,4.596041666666666,0.59015625,Mediana,9.999751822506193,0.14554950045413262
1998,North Stonington-Wheeler,New London,105.0,4987.0,54000.0,2555.0,0.51,2815.0,40313.0,132.0,3570.0,35044.0,78582.0,15000.0,3.01,43936.0,74337.0,14.9,21.135029354207436,1.101761252446184,Pequeña,8.514790306799927,0.7158612392219771
1998,Norwalk,Fairfield,40.0,13145.0,56297.0,5261.0,1.0,5832.0,80777.5,429.0,10324.0,58039.0,473641.5,386715.0,33.47,281623.0,2174304.0,27.9,10.700817335107393,1.1085344991446493,Mediana,9.483872808823522,0.7853936858120959
1998,"Norwalk, Rowayton",Fairfield,40.0,,,4522.0,0.06,,31045.0,40.0,1464.0,33654.0,125579.0,96000.0,1.23,74460.0,112134.0,1.4,,,,,
1998,Norwich - Otis,New London,157.0,38546.0,125000.0,19591.0,0.51,18974.0,203612.0,119.0,2269.0,96012.0,857794.0,663000.0,17.2,523334.0,700936.0,18.2,6.380480833035578,0.9685059466081364,Mediana,10.55963355495159,0.05886473304623048
1998,Old Lyme - Phoebe,New London,22.0,6569.0,79352.0,5298.0,0.81,2238.0,74323.0,338.0,3629.0,37356.0,552821.0,130000.0,19.79,197055.0,296741.0,45.2,14.97772744431861,0.42242355605889015,Pequeña,8.790269111478656,0.5524432942609225
1998,Old Saybrook - Acton,Middlesex,25.0,9730.0,145787.0,5177.0,0.53,5055.0,171830.0,140.0,3212.0,58064.0,342710.0,336325.0,34.57,194401.0,280774.0,28.9,28.160517674328762,0.9764342283175584,Pequeña,9.18307194482199,0.33011305241521066
1998,Orange - Case,New Haven,29.0,12440.0,63222.0,9943.0,0.8,11856.0,118885.0,42.0,801.0,72758.0,336168.0,350026.0,28.14,180845.0,316183.0,25.4,6.358443125817158,1.1923966609675147,Mediana,9.42875274891449,0.06438906752411576
1998,Oxford,New Haven,86.0,9019.0,27000.0,8450.0,0.94,4000.0,46000.0,70.0,707.0,39375.0,158856.0,138500.0,15.36,107183.0,136183.0,15.1,3.195266272189349,0.47337278106508873,Pequeña,9.10719961305667,0.07839006541745204
1998,Plainfield - Aldrich,Windham,161.0,14554.0,11016.0,3677.0,0.25,3167.0,40675.0,78.0,1209.0,27740.0,68989.0,44000.0,3.02,36170.0,59246.0,4.1,2.995920587435409,0.8612999728039162,Mediana,9.585689856179723,0.08306994640648618
1998,Plainville,Hartford,115.0,16779.0,100848.0,7046.0,0.42,10886.0,173861.0,331.0,13919.0,93018.0,459515.0,399557.0,23.81,282146.0,433640.0,25.8,14.312801589554358,1.5449900652852682,Mediana,9.727942980021197,0.8295488408129209
1998,Plymouth - Terryville,Litchfield,136.0,12069.0,,4027.0,0.33,4627.0,61544.0,323.0,4179.0,49030.0,297149.0,283471.0,23.49,170856.0,250993.0,20.8,,1.1489942885522721,Mediana,9.398478314091577,0.34625901068854087
1998,Pomfret,Windham,102.0,3344.0,6656.0,1787.0,0.53,454.0,15808.0,45.0,,24455.0,35804.0,26941.0,8.06,17427.0,30108.0,9.0,3.7246782316731952,0.2540570789031897,Pequeña,8.11522197256233,
1998,Portland,Middlesex,96.0,8823.0,104001.0,4798.0,0.54,5276.0,168451.0,166.0,2877.0,64678.0,521334.0,492426.0,55.81,326013.0,459360.0,52.1,21.675906627761567,1.0996248436848688,Pequeña,9.085230560933338,0.32607956477388644
1998,Preston,New London,149.0,5116.0,17451.0,2153.0,0.42,800.0,25047.0,46.0,486.0,21996.0,93796.0,87384.0,17.08,48446.0,78596.0,15.4,8.105434277751973,0.3715745471435207,Pequeña,8.540323608805092,0.09499609069585614
1998,Prospect,New Haven,111.0,8111.0,26350.0,7300.0,0.9,6360.0,66671.0,13.0,398.0,34463.0,209760.0,202967.0,25.02,120911.0,177460.0,21.9,3.6095890410958904,0.8712328767123287,Pequeña,9.001099725830965,0.04906916533103193
1998,Putnam,Windham,159.0,8971.0,25234.0,6927.0,0.77,7211.0,57479.0,109.0,379.0,41027.0,289189.0,243537.0,27.15,146033.0,198977.0,22.2,3.642846831240075,1.0409989894615272,Pequeña,9.101863895640099,0.04224724111024412
1998,Redding - Mark Twain,Fairfield,9.0,8067.0,47060.0,3374.0,0.42,687.0,63153.0,179.0,2961.0,39981.0,293698.0,162823.0,20.18,158195.0,236920.0,29.4,13.947836395969176,0.2036158861885003,Pequeña,8.995660899074103,0.3670509483079212
1998,Ridgefield,Fairfield,10.0,21666.0,286145.0,15355.0,0.71,16294.0,282374.0,666.0,18938.0,104193.0,1148900.0,915000.0,42.23,612091.0,944703.0,43.6,18.63529794855096,1.0611527189840442,Mediana,9.983545644706707,0.8740884334902612
1998,Rocky Hill-Cora Belden,Hartford,72.0,16377.0,157453.0,8075.0,0.49,19644.0,216731.0,275.0,6795.0,72728.0,641059.0,624593.0,38.14,461164.0,638481.0,39.0,19.498823529411766,2.4326934984520125,Mediana,9.703694249830134,0.414911155889357
1998,Roxbury - Minor,Litchfield,11.0,1982.0,24933.0,,,4201.0,39983.0,383.0,,44836.0,116988.0,83819.0,42.29,54130.0,93728.0,47.3,,,Pequeña,7.592366128519796,
1998,Salem,New London,106.0,3557.0,15080.0,2735.0,0.77,150.0,28090.0,73.0,1466.0,15205.0,48523.0,41351.0,11.63,22438.0,39439.0,11.1,5.513711151736746,0.054844606946983544,Pequeña,8.17695386822578,0.4121450660669103
1998,Salisbury - Scoville,Litchfield,14.0,4131.0,39000.0,2652.0,0.64,2785.0,51427.0,88.0,1682.0,32670.0,257344.0,45000.0,10.89,133845.0,205637.0,49.8,14.705882352941176,1.0501508295625943,Pequeña,8.326516830239528,0.40716533526991044
1998,Scotland,Windham,133.0,1397.0,2577.0,642.0,0.46,84.0,3796.0,6.0,69.0,9668.0,12270.0,8935.0,6.4,8314.0,11808.0,8.5,4.014018691588785,0.1308411214953271,Pequeña,7.242797922793756,0.049391553328561204
1998,Seymour,New Haven,120.0,14150.0,52346.0,8347.0,0.59,2847.0,80650.0,51.0,2077.0,48291.0,373311.0,298082.0,21.07,192493.0,272148.0,19.2,6.271235174314125,0.34108062777045645,Mediana,9.557540571952371,0.1467844522968198
1998,Sharon - Hotchkiss,Litchfield,20.0,2979.0,8000.0,2791.0,0.94,,22668.0,40.0,400.0,23790.0,80892.0,2500.0,0.84,53524.0,84635.0,28.4,2.866356144750985,,Pequeña,7.9996785794994505,0.1342732460557234
1998,Shelton - Plumb,Fairfield,67.0,37159.0,121732.0,15268.0,0.41,16604.0,246290.0,212.0,4029.0,144457.0,743045.0,696460.0,18.74,491549.0,732677.0,19.7,7.973015457165313,1.0875032748231594,Mediana,10.522988192927775,0.10842595333566565
1998,Sherman,Fairfield,15.0,2943.0,32314.0,1808.0,0.61,780.0,40896.0,165.0,2199.0,22376.0,97980.0,69371.0,23.57,52132.0,84393.0,28.7,17.87278761061947,0.4314159292035398,Pequeña,7.987524479848767,0.7471967380224261
1998,Simsbury,Hartford,37.0,21610.0,274308.0,14597.0,0.68,40860.0,408223.0,473.0,16452.0,135573.0,839423.0,831158.0,38.46,550778.0,779154.0,36.1,18.792080564499553,2.799205316160855,Mediana,9.980957723303026,0.7613142063859324
1998,Somers,Tolland,118.0,9414.0,71405.0,3767.0,0.4,6725.0,84642.0,178.0,2968.0,42043.0,281052.0,260216.0,27.64,156692.0,232320.0,24.7,18.955402176798515,1.7852402442261748,Pequeña,9.150059441091253,0.31527512215848735
1998,South Windsor,Hartford,70.0,22325.0,167760.0,11069.0,0.5,19287.0,203729.0,257.0,5723.0,101726.0,872143.0,860130.0,38.53,452312.0,627648.0,28.1,15.15584063601048,1.742433824193694,Mediana,10.013507197574677,0.25634938409854424
1998,"South Windsor, Wood",Hartford,70.0,,6689.0,300.0,0.01,50.0,2950.0,32.0,2557.0,14318.0,93347.0,7500.0,0.34,36203.0,126665.0,5.7,22.296666666666667,0.16666666666666666,,,
1998,Southbury,New Haven,42.0,16320.0,206440.0,9129.0,0.56,18304.0,201383.0,210.0,5834.0,79224.0,500885.0,442568.0,27.12,266588.0,419297.0,25.7,22.613648811479898,2.005038887063205,Mediana,9.700207901150696,0.35747549019607844
1998,Southington,Hartford,84.0,38091.0,300354.0,18625.0,0.49,5832.0,290789.0,194.0,8015.0,149808.0,809506.0,778691.0,20.44,540765.0,724679.0,19.0,16.126389261744965,0.31312751677852346,Mediana,10.547759565313937,0.21041715890892862
1998,Sprague,New London,148.0,2980.0,6636.0,2158.0,0.72,416.0,9131.0,1.0,35.0,15100.0,11276.0,9150.0,3.07,6131.0,8524.0,2.9,3.0750695088044484,0.1927710843373494,Pequeña,8.000014093678072,0.01174496644295302
1998,Stafford,Tolland,141.0,11567.0,39416.0,6463.0,0.56,1704.0,39437.0,90.0,1845.0,40113.0,250254.0,173000.0,14.96,113087.0,167941.0,14.5,6.098715766671824,0.2636546495435556,Mediana,9.355997944398545,0.15950548975533846
1998,Stamford - Ferguson,Fairfield,28.0,13145.0,56297.0,5261.0,0.51,5832.0,80777.5,742.0,5203.0,58039.0,473641.5,386715.0,49.87,281623.0,470742.5,44.2,10.700817335107393,1.1085344991446493,Mediana,9.483872808823522,0.39581589958158997
1998,Sterling,Windham,137.0,2757.0,9025.0,1477.0,0.54,1743.0,34188.0,20.0,704.0,15659.0,45403.0,43400.0,15.74,18761.0,42218.0,15.3,6.110358835477319,1.180094786729858,Pequeña,7.922261058353247,0.2553500181356547
1998,Stonington,New London,54.0,16953.0,20280.0,4762.0,0.28,260.0,53230.0,395.0,6646.0,28355.0,183585.0,66175.0,3.9,94895.0,159409.0,9.4,4.258714825703486,0.054598908021839566,Mediana,9.73825907316835,0.39202501032265674
1998,Stratford,Fairfield,95.0,49068.0,180677.0,5261.0,0.82,5832.0,346965.0,270.0,5203.0,156159.0,2168182.0,1992083.0,40.6,1124944.0,1533360.0,31.2,34.34271051130964,1.1085344991446493,Mediana,10.800982749825957,0.10603652074671883
1998,Suffield - Kent,Hartford,61.0,11128.0,111624.0,5306.0,0.48,7000.0,139459.0,191.0,4519.0,77023.0,395611.0,327292.0,29.41,196209.0,294979.0,26.5,21.037316245759516,1.3192612137203166,Mediana,9.317309592973425,0.40609273903666426
1998,Thomaston,Litchfield,114.0,7304.0,65000.0,3883.0,0.53,5000.0,93824.0,250.0,6000.0,53037.0,261751.0,240489.0,32.93,145819.0,235835.0,32.3,16.73963430337368,1.2876641771825907,Pequeña,8.8963143241848,0.8214676889375685
1998,Thompson,Windham,156.0,9019.0,45617.0,5604.0,0.62,3075.0,71649.0,184.0,2172.0,41203.0,223049.0,214109.0,23.74,136777.0,214109.0,23.7,8.14007851534618,0.5487152034261242,Pequeña,9.10719961305667,0.24082492515799978
1998,Tolland,Tolland,108.0,12063.0,84495.0,5656.0,0.47,23669.0,117688.0,172.0,1596.0,47991.0,246218.0,237094.0,19.65,175859.0,268789.0,22.3,14.939002828854314,4.18475954738331,Mediana,9.397981090247738,0.13230539666749566
1998,Torrington,Litchfield,135.0,34668.0,29640.0,10788.0,0.31,,88125.0,83.0,1379.0,63544.0,304028.0,,,153559.0,238440.0,6.9,2.747497219132369,,Mediana,10.453601194882646,0.039777316257067034
1998,Trumbull,Fairfield,35.0,33274.0,243457.0,5261.0,0.76,10754.0,334137.0,372.0,5462.0,156144.0,999278.0,985181.0,29.61,669050.0,896708.0,26.9,46.275803079262495,2.0440980802128874,Mediana,10.412561643263313,0.16415219089980165
1998,Union,Tolland,104.0,662.0,3700.0,208.0,0.31,25.0,4705.0,10.0,50.0,11662.0,26337.0,23686.0,35.78,9271.0,21484.0,32.5,17.78846153846154,0.1201923076923077,Pequeña,6.4967749901858625,0.0755287009063444
1998,Vernon - Rockville,Tolland,128.0,29580.0,81634.0,9235.0,0.31,7313.0,118546.0,137.0,4286.0,48557.0,623112.0,100000.0,3.38,274923.0,479290.0,16.2,8.83963183540877,0.791878722252301,Mediana,10.294887542319458,0.144895199459094
1998,Voluntown,New London,150.0,2248.0,1300.0,375.0,0.17,32.0,2649.0,3.0,18.0,5043.0,11734.0,10245.0,4.56,5285.0,9519.0,4.2,3.466666666666667,0.08533333333333333,Pequeña,7.718240951959316,0.00800711743772242
1998,Wallingford,New Haven,99.0,40671.0,263848.0,5261.0,0.89,5832.0,80777.5,463.0,17427.0,191264.0,1643698.0,1531586.0,37.66,894501.0,1331635.0,32.7,50.15168218969777,1.1085344991446493,Mediana,10.613295173989181,0.42848712842074205
1998,Warren,Litchfield,23.0,1293.0,5505.0,560.0,0.43,100.0,5466.0,40.0,752.0,12256.0,24704.0,13500.0,10.44,12562.0,21365.0,16.5,9.830357142857142,0.17857142857142858,Pequeña,7.165493475060845,0.5815931941221965
1998,Washington - Gunn,Litchfield,18.0,4045.0,25168.0,3712.0,0.92,5200.0,43647.0,160.0,2232.0,33948.0,246122.0,42000.0,10.38,110870.0,211764.0,52.4,6.780172413793103,1.4008620689655173,Pequeña,8.305484017727691,0.5517923362175525
1998,Waterbury - Silas Bron.,New Haven,163.0,13145.0,283953.0,5261.0,0.47,5832.0,207202.0,364.0,17219.0,58039.0,2056085.0,1813144.0,17.09,281623.0,1976429.0,18.6,53.97319901159475,1.1085344991446493,Mediana,9.483872808823522,1.309927729174591
1998,Waterford,New London,7.0,18128.0,,11307.0,0.62,15962.0,239953.0,374.0,7225.0,111430.0,1056917.0,1030039.0,56.82,693759.0,882597.0,48.7,,1.4116918722915008,Mediana,9.805268145029668,0.39855472197705205
1998,Watertown,Litchfield,109.0,21556.0,73424.0,11158.0,0.52,37723.0,131916.0,122.0,2859.0,66811.0,599463.0,550000.0,25.51,306091.0,466208.0,21.6,6.5803907510306505,3.3808030112923464,Mediana,9.978455868773434,0.13263128595286694
1998,West Hartford,Hartford,46.0,13145.0,56297.0,5261.0,0.52,5832.0,80777.5,270.0,5203.0,58039.0,473641.5,386715.0,48.96,281623.0,2170418.0,38.5,10.700817335107393,1.1085344991446493,Mediana,9.483872808823522,0.39581589958158997
1998,West Haven,New Haven,158.0,51996.0,150124.0,5261.0,0.53,13051.0,230155.0,120.0,6651.0,149906.0,1118563.0,1092857.0,21.02,611318.0,840330.0,16.2,28.535259456377116,2.4807070899068617,Grande,10.858941303591607,0.12791368566812833
1998,Westbrook,Middlesex,34.0,5554.0,39000.0,3500.0,0.63,4238.0,67623.0,123.0,2284.0,39782.0,246827.0,215773.0,38.85,138687.0,214191.0,38.6,11.142857142857142,1.2108571428571429,Pequeña,8.62245370207373,0.4112351458408354
1998,Westport,Fairfield,4.0,24172.0,56297.0,13223.0,0.55,5832.0,300899.0,264.0,7448.0,188595.0,473641.5,386715.0,32.224999999999994,281623.0,2147792.0,88.9,4.257505860999773,0.4410496861529154,Mediana,10.0929915868061,0.3081251034254509
1998,Wethersfield,Hartford,63.0,24985.0,202774.0,11023.0,0.44,22485.0,194536.0,140.0,4168.0,143457.0,806146.0,795845.0,31.85,530170.0,722598.0,28.9,18.39553660527987,2.0398258187426292,Mediana,10.126070946991774,0.16682009205523313
1998,Willington,Tolland,143.0,6153.0,14299.0,4397.0,0.71,4132.0,20994.0,6.0,674.0,14884.0,64075.0,56642.0,9.21,36408.0,60349.0,9.8,3.2519899931771663,0.9397316352058221,Pequeña,8.724857555881988,0.10954006175849179
1998,Wilton,Fairfield,6.0,16320.0,217100.0,,,28699.0,220741.0,297.0,6119.0,126091.0,1240175.0,929813.0,56.97,639600.0,969729.0,59.4,,,Mediana,9.700207901150696,0.3749387254901961
1998,Winchester - Beardsley,Litchfield,132.0,16423.0,54234.0,7168.0,0.44,3939.0,61709.0,39.0,,43046.0,222849.0,128000.0,7.79,101849.0,157021.0,9.6,7.566127232142857,0.5495256696428571,Mediana,9.70649895869877,
1998,Windham - Guilford Sm,Windham,167.0,,4940.0,907.0,0.04,75.0,7795.0,37.0,571.0,9488.0,26869.0,1000.0,0.05,15152.0,43559.0,2.0,5.446527012127894,0.08269018743109151,,,
1998,Windham - Willimantic,Windham,167.0,23521.0,130000.0,13499.0,0.57,1200.0,78143.0,113.0,1880.0,61577.0,443325.0,409813.0,17.42,266760.0,397443.0,16.9,9.63034298836951,0.08889547373879547,Mediana,10.065691432410983,0.07992857446537137
1998,Windsor,Hartford,73.0,27446.0,252019.0,16823.0,0.61,30545.0,319053.0,531.0,12307.0,127761.0,1141460.0,973960.0,35.49,570925.0,807777.0,29.4,14.980621767817869,1.8156690245497236,Mediana,10.220012151347644,0.44840778255483493
1998,Windsor Locks,Hartford,59.0,11979.0,,5432.0,0.45,,43006.0,51.0,1284.0,54720.0,293967.0,260000.0,21.7,140176.0,216295.0,18.1,,,Mediana,9.39099387166944,0.10718757826195843
1998,Wolcott,New Haven,117.0,14099.0,60684.0,4829.0,0.34,,90299.0,191.0,2150.0,53948.0,268160.0,268160.0,19.02,144365.0,236401.0,16.8,12.566576931041624,,Mediana,9.55393007636626,0.1524930846159302
1998,Woodbridge,New Haven,16.0,8028.0,,,,7976.0,159703.0,287.0,4206.0,64409.0,513537.0,471656.0,58.75,302958.0,438208.0,54.6,,,Pequeña,8.990815266184685,0.523916292974589
1998,Woodbury,Litchfield,45.0,8544.0,,7341.0,0.86,16087.0,109591.0,327.0,6798.0,65636.0,355577.0,344619.0,40.33,196129.0,317665.0,37.2,,2.191390818689552,Pequeña,9.053101595549691,0.7956460674157303
1998,Woodstock - Bracken,Windham,98.0,6523.0,3300.0,2534.0,0.39,,15121.0,40.0,1200.0,16932.0,13913.0,9375.0,1.44,5832.0,14056.0,2.2,1.3022888713496448,,Pequeña,8.783242963740905,0.1839644335428484
1999,Andover,Tolland,109.0,2850.0,8500.0,1263.0,0.44,344.0,16112.0,61.0,1058.0,15790.0,70201.0,66422.0,24.24,41449.0,56876.0,20.0,6.730007917656374,0.2723673792557403,Pequeña,7.955425088912672,0.3712280701754386
1999,Ansonia,New Haven,157.0,17716.0,,10412.0,0.59,,88608.0,254.0,6782.0,72751.0,421029.0,365732.0,20.54,235519.0,384968.0,21.7,,,Mediana,9.782279909600437,0.3828177918265974
1999,Ashford-Babcock,Windham,148.0,3941.0,13912.0,1847.0,0.47,481.0,27559.0,72.0,1466.0,25738.0,127175.0,122470.0,31.23,74866.0,104964.0,26.6,7.532214401732539,0.26042230644288034,Pequeña,8.279443487712665,0.37198680537934536
1999,Avon,Hartford,18.0,14093.0,168961.0,8845.0,0.63,19004.0,227671.0,390.0,10484.0,78718.0,879079.0,790587.0,57.6,462227.0,679822.0,48.2,19.102430751837197,2.14855850763143,Mediana,9.553504453886967,0.7439154190023416
1999,Beacon Falls,New Haven,126.0,5198.0,4120.0,1529.0,0.29,518.0,7305.0,43.0,1055.0,8331.0,45720.0,45720.0,8.9,29375.0,39845.0,7.7,2.6945716154349246,0.33878351863963374,Pequeña,8.556221578383715,0.20296267795305886
1999,Berlin-Peck,Hartford,54.0,17246.0,82056.0,7457.0,0.43,10242.0,232022.0,438.0,8898.0,84527.0,667882.0,687631.0,40.3,369753.0,542642.0,31.5,11.003888963390104,1.3734745876357786,Mediana,9.7553934942914,0.5159457265452858
1999,Bethany - Clark,New Haven,53.0,4830.0,19300.0,3750.0,0.78,700.0,45434.0,45.0,455.0,36197.0,78314.0,64637.0,13.67,36169.0,58900.0,12.2,5.1466666666666665,0.18666666666666668,Pequeña,8.482808764554406,0.09420289855072464
1999,Bethel,Fairfield,74.0,17874.0,148330.0,12978.0,0.73,13247.0,131941.0,190.0,5164.0,88746.0,505087.0,505618.0,28.47,296362.0,504472.0,28.2,11.429341963322546,1.0207273848050546,Mediana,9.791158367562208,0.2889112677632315
1999,Bethlehem,Litchfield,66.0,3259.0,18979.0,3173.0,0.97,2407.0,30976.0,136.0,1348.0,24217.0,90516.0,71322.0,21.88,41712.0,61099.0,18.7,5.981405609832966,0.7585880869839269,Pequeña,8.089482474360754,0.4136238109849647
1999,Bloomfield - Prosser,Hartford,63.0,19000.0,,9013.0,0.47,15139.0,213364.0,637.0,12598.0,126893.0,1022336.0,951639.0,50.08,671379.0,903475.0,47.6,,1.6796848995894818,Mediana,9.852246888342531,0.6630526315789473
1999,Bolton - Bentley,Tolland,85.0,4753.0,,2512.0,0.53,1649.0,43736.0,100.0,1403.0,39268.0,152118.0,149136.0,31.74,105487.0,150537.0,31.7,,0.6564490445859873,Pequeña,8.46674164792014,0.29518199032190195
1999,Branford - Blackstone,New Haven,52.0,27146.0,65263.0,,,5832.0,162587.0,597.0,18463.0,87789.0,811717.0,572971.0,21.04,456495.0,632800.0,23.3,,,Mediana,10.209021822019244,0.6801370367641641
1999,Branford - Willoughby,New Haven,52.0,,8250.0,4620.0,0.17,1500.0,45000.0,39.0,6650.0,21000.0,134934.0,130902.0,4.81,80645.0,129277.0,4.8,1.7857142857142858,0.3246753246753247,,,
1999,Bridgeport,Fairfield,169.0,13145.0,56297.0,5261.0,0.38,5832.0,403295.0,899.0,15279.0,58039.0,473641.5,386715.0,27.24,281623.0,470742.5,25.6,10.700817335107393,1.1085344991446493,Mediana,9.483872808823522,1.1623430962343095
1999,Bridgewater - Burnham,Litchfield,20.0,1749.0,16025.0,1346.0,0.77,1305.0,21949.0,117.0,5456.0,29316.0,86933.0,50860.0,29.25,53604.0,75606.0,43.2,11.905646359583953,0.9695393759286776,Pequeña,7.4673710669175595,3.119496855345912
1999,Bristol,Hartford,136.0,13145.0,266193.0,19534.0,0.33,23235.0,357932.0,803.0,16453.0,144634.0,1335446.0,1297107.0,21.93,850467.0,1231834.0,20.8,13.627162895464318,1.189464523395106,Mediana,9.483872808823522,1.2516546215290985
1999,Brookfield,Fairfield,32.0,14664.0,92453.0,6975.0,0.48,12700.0,126450.0,185.0,5896.0,60632.0,467389.0,390926.0,27.01,268950.0,380303.0,25.9,13.254910394265233,1.82078853046595,Mediana,9.593218981411551,0.40207310420076375
1999,Brooklyn,Windham,149.0,6909.0,15000.0,3675.0,0.53,1800.0,29788.0,16.0,863.0,21148.0,73652.0,65185.0,9.39,34386.0,61861.0,9.0,4.081632653061225,0.4897959183673469,Pequeña,8.840724916761715,0.12490953828339847
