Fiscal_Year,Library,County,AENGLC_Rank,Population_of_Service_Area,Total_Library_Visits,Total_Registered_Borrowers,Percent_of_Residents_with_Library_Cards,Reference_Questions,Total_Circulation,Total_Programs_(Synchronous_+_Prerecorded),Total_Program_Attendance_&_Views,Total_Collection,Total_Operating_Income,Town_Tax_Appropriation_for_Library,Tax_Appropriation_Per_Capita_Served,Wages_&_Salaries_Expenditures,Operating_Expenditures,Operating_Expenditures_Per_Capita,Visits_per_Borrower,References_per_Borrower,Population_Group,Log_Population,Program_Attendance_per_Capita
1996,Suffield - Kent,Hartford,58.0,11114.0,95417.0,5243.0,0.47,6539.0,107262.0,198.0,3822.0,72231.0,359427.0,280319.0,25.22,183451.0,273522.0,24.6,18.198931909212284,1.2471867251573527,Mediana,9.316050826398296,0.34389058844700376
1996,Thomaston,Litchfield,122.0,7290.0,65000.0,3573.0,0.49,5000.0,95176.0,250.0,6000.0,52043.0,243644.0,222600.0,30.53,133174.0,214618.0,29.4,18.191995521970334,1.3993842709207949,Pequeña,8.89439598980643,0.823045267489712
1996,Thompson,Windham,157.0,8780.0,40581.0,5310.0,0.6,1583.0,68495.0,198.0,1722.0,33578.0,194346.0,188599.0,21.48,121952.0,188579.0,21.5,7.642372881355932,0.29811676082862526,Pequeña,9.080345575359996,0.19612756264236902
1996,Tolland,Tolland,101.0,11740.0,70838.0,8635.0,0.74,23224.0,107503.0,169.0,2427.0,40954.0,222897.0,213683.0,18.2,147274.0,251884.0,21.5,8.203590040532715,2.6895193977996525,Mediana,9.370842268630211,0.20672913117546848
1996,Trumbull,Fairfield,35.0,31387.0,264558.0,5261.0,0.85,32465.0,330603.0,321.0,6396.0,148537.0,901586.0,889086.0,28.33,621342.0,820523.0,26.1,50.28663752138377,6.170880060824938,Mediana,10.354180933247363,0.20377863446649888
1996,Union,Tolland,92.0,639.0,3309.0,,,25.0,4136.0,,,12948.0,23470.0,20525.0,32.12,7493.0,21062.0,33.0,,,Pequeña,6.461468176353717,
1996,Vernon - Rockville,Tolland,133.0,29911.0,86699.0,9422.0,0.32,9220.0,112443.0,104.0,3150.0,43393.0,578899.0,94000.0,3.14,246354.0,413120.0,13.8,9.201761834005518,0.978560815113564,Mediana,10.30601501665695,0.10531242686637023
1996,Voluntown,New London,142.0,2288.0,1768.0,319.0,0.14,22.0,1656.0,6.0,50.0,5015.0,6358.0,5000.0,2.19,1145.0,3112.0,1.4,5.5423197492163006,0.06896551724137931,Pequeña,7.735870319952567,0.021853146853146852
1996,Wallingford,New Haven,98.0,41276.0,291668.0,5261.0,0.83,5832.0,453558.0,448.0,15698.0,183317.0,1564443.0,1429806.0,34.64,830895.0,1265673.0,30.7,55.439650256605205,1.1085344991446493,Mediana,10.628060723095926,0.3803178602577769
1996,Warren,Litchfield,23.0,1238.0,10000.0,750.0,0.61,90.0,7608.0,38.0,372.0,11276.0,21351.0,13000.0,10.5,9808.0,18258.0,14.7,13.333333333333334,0.12,Pequeña,7.122059881629142,0.30048465266558966
1996,Washington - Gunn,Litchfield,17.0,4009.0,22500.0,2319.0,0.58,4992.0,36961.0,133.0,2183.0,32454.0,224141.0,30000.0,7.48,91105.0,157614.0,39.3,9.702457956015524,2.152652005174644,Pequeña,8.296546520300614,0.544524819156897
1996,Waterbury - Silas Bron.,New Haven,162.0,13145.0,56297.0,5261.0,0.4,5832.0,211285.0,401.0,12151.0,58039.0,2014528.0,1749627.0,16.27,1413927.0,1779658.0,16.5,10.700817335107393,1.1085344991446493,Mediana,9.483872808823522,0.9243818942563713
1996,Waterford,New London,7.0,17312.0,,11636.0,0.67,17638.0,262378.0,426.0,9646.0,111048.0,1038182.0,977948.0,56.49,658907.0,841858.0,48.6,,1.5158129941560674,Mediana,9.759212943379076,0.5571857670979667
1996,Watertown,Litchfield,111.0,21334.0,112683.0,9713.0,0.46,5832.0,124593.0,92.0,2862.0,68295.0,490281.0,460000.0,21.56,228513.0,390849.0,18.3,11.601256048594667,0.6004324101719345,Mediana,9.9681041956221,0.13415205774819536
1996,West Hartford,Hartford,42.0,13145.0,56297.0,5261.0,0.52,5832.0,80777.5,754.0,5203.0,58039.0,473641.5,386715.0,46.51,281623.0,1942778.0,34.1,10.700817335107393,1.1085344991446493,Mediana,9.483872808823522,0.39581589958158997
1996,West Haven,New Haven,154.0,52477.0,132080.0,23022.0,0.44,12473.0,234103.0,67.0,6377.0,145944.0,1022320.0,1003004.0,19.11,570465.0,788612.0,15.0,5.737121014681609,0.541786117626618,Grande,10.868149313135678,0.12151990395792442
1996,Westbrook,Middlesex,33.0,5404.0,39000.0,3500.0,0.65,3323.0,70538.0,80.0,1480.0,38360.0,219586.0,202482.0,37.47,135755.0,189092.0,35.0,11.142857142857142,0.9494285714285714,Pequeña,8.595079730073309,0.27387120651369357
1996,Westport,Fairfield,4.0,24400.0,56297.0,14792.0,0.61,5832.0,80777.5,706.0,18544.0,189556.0,473641.5,2211820.0,32.224999999999994,1485668.0,2054893.0,84.2,3.805908599242834,0.3942671714440238,Mediana,10.102379394048045,0.76
1996,Wethersfield,Hartford,59.0,24004.0,207165.0,11020.0,0.46,44547.0,193233.0,234.0,8632.0,130930.0,769374.0,759941.0,31.66,482064.0,655420.0,27.3,18.799001814882033,4.042377495462795,Mediana,10.08601742096504,0.35960673221129813
1996,Willington,Tolland,143.0,6385.0,12870.0,3746.0,0.59,3718.0,17073.0,8.0,747.0,12682.0,56648.0,52100.0,8.16,34304.0,53661.0,8.4,3.4356647090229577,0.9925253603844101,Pequeña,8.761863373274727,0.11699295223179326
1996,Wilton,Fairfield,6.0,16302.0,193500.0,9900.0,0.61,20656.0,204500.0,281.0,8575.0,122356.0,1136153.0,807213.0,49.52,524760.0,840246.0,51.5,19.545454545454547,2.0864646464646466,Mediana,9.699104418939655,0.5260090786406576
1996,Winchester - Beardsley,Litchfield,144.0,16179.0,46957.0,8082.0,0.5,2998.0,49898.0,281.0,1083.0,41714.0,265968.0,125000.0,7.73,112518.0,159886.0,9.9,5.810071764414749,0.37094778520168276,Mediana,9.691531190612483,0.06693862414240682
1996,Windham - Willimantic,Windham,167.0,23603.0,110000.0,12470.0,0.53,1960.0,91430.0,59.0,731.0,57298.0,414435.0,367373.0,15.56,239813.0,376674.0,16.0,8.821170809943865,0.15717722534081796,Mediana,10.069171468177059,0.030970639325509468
